start_time,datetime,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total
1650661200000,2022-04-22 21:00:00,0.6544980592140114,1.2999584416834118,3237.746731865737,7484.839805171435
1650664800000,2022-04-22 22:00:00,0.9109853676479492,1.274280784098662,3018.8748779344214,10162.95276148052
1650668400000,2022-04-22 23:00:00,3.156664961151129,1.560129466626916,24287.052142096163,32608.34904869116
1650672000000,2022-04-23 00:00:00,1.819751587793451,1.6060712836800246,14173.537003669851,18370.39227877489
1650675600000,2022-04-23 01:00:00,1.412341757021946,1.680029675161412,9593.99257054342,14927.040029964946
1650679200000,2022-04-23 02:00:00,0.3612938755645322,1.5734969976537752,1637.3152294371305,4493.411930396086
1650682800000,2022-04-23 03:00:00,0.4618554891400575,1.2539130139332966,1183.8446508864693,4787.5940004258355
1650686400000,2022-04-23 04:00:00,3.030970756754944,1.5934091135820014,22614.62276044123,27518.183500578136
1650690000000,2022-04-23 05:00:00,0.5225461770133041,1.537917800634195,1060.3750148761796,4601.019088602142
1650693600000,2022-04-23 06:00:00,0.7331479929972485,1.191701090897926,2500.706923084923,6016.945578528419
1650697200000,2022-04-23 07:00:00,0.8660730180051803,1.0554612952138875,4075.7840208193784,7131.245230254655
1650700800000,2022-04-23 08:00:00,0.9438375927561352,0.9885321288902004,3897.641236733975,7308.134480710755
1650704400000,2022-04-23 09:00:00,0.6146908809526084,1.0247317010884969,2203.0050671417334,5344.73720988293
1650708000000,2022-04-23 10:00:00,0.6940235158792952,1.057898562051245,3576.64832626,6314.225947469828
1650711600000,2022-04-23 11:00:00,0.5528323749647347,0.7038787932240723,1882.3529533410344,4728.928135448341
1650715200000,2022-04-23 12:00:00,0.6546684955183589,0.7227534101533658,2255.593804338594,6108.057063186288
1650718800000,2022-04-23 13:00:00,0.7798878617252015,0.7294305342573593,3592.337603339018,7960.315404629132
1650722400000,2022-04-23 14:00:00,2.1190405919775452,0.9084259019676972,20622.25022217934,23873.111309219028
1650726000000,2022-04-23 15:00:00,0.5591944983141093,0.853476888475979,2583.2735002799113,6059.990778230002
1650729600000,2022-04-23 16:00:00,0.7786730085044289,0.8769029066976677,4005.287229797189,8118.444786667175
1650733200000,2022-04-23 17:00:00,0.6568828070785581,0.8715970911547052,3392.58374038,7599.477195091837
1650736800000,2022-04-23 18:00:00,0.6008201429482184,0.8784524865809172,2737.5825877200073,6423.368148259403
1650740400000,2022-04-23 19:00:00,0.6628073733550099,0.8796151834147244,3167.4731118973477,6345.717792500865
1650744000000,2022-04-23 20:00:00,0.5796962810815873,0.8510163861799225,2631.8589301562997,5651.459044264396
1650747600000,2022-04-23 21:00:00,0.27431114842005033,0.5874836085288517,758.7482799198385,2500.0718067003386
1650751200000,2022-04-23 22:00:00,0.8249806062909875,0.6254530525255486,2491.9545975143633,7226.005130502759
1650754800000,2022-04-23 23:00:00,1.316532240486554,0.7022900856658522,6891.661616471711,11100.999851782622
1650758400000,2022-04-24 00:00:00,0.503604401832273,0.6803931706306686,1629.942930229102,4289.702294807301
1650762000000,2022-04-24 01:00:00,3.2929492738982806,1.064983046480677,12557.592588336358,25260.213880073712
1650765600000,2022-04-24 02:00:00,0.6249502831466477,1.0595748907366258,3080.634392509984,6344.495274504768
1650769200000,2022-04-24 03:00:00,3.3162779195177454,1.450515124798934,24951.26453013115,28652.64122463332
1650772800000,2022-04-24 04:00:00,0.6287898765208837,1.501154943099053,1740.4837784534122,4512.196153913862
1650776400000,2022-04-24 05:00:00,0.581483744209757,1.4663696770874488,1808.809033636985,4176.797734658685
1650780000000,2022-04-24 06:00:00,0.741795430809873,1.3842644185622086,2679.8227089017028,5054.594065538474
1650783600000,2022-04-24 07:00:00,1.0310799554904702,1.4596180690848082,3950.035605290445,7805.275263062858
1650787200000,2022-04-24 08:00:00,2.7581092645093097,1.3832123534578125,18811.263380873475,21207.102134812085
1650790800000,2022-04-24 09:00:00,1.048625231275566,1.4437373460476577,5095.757876473109,7888.807614886082
1650794400000,2022-04-24 10:00:00,0.9365874221734696,1.1037815607127617,4607.221290574153,8016.251746382724
1650798000000,2022-04-24 11:00:00,0.45874063056599745,1.079488811290635,1390.161666245122,4256.1955703913245
1650801600000,2022-04-24 12:00:00,0.5089988149259013,1.069133821392941,1295.6779572678615,5069.119197847051
1650805200000,2022-04-24 13:00:00,0.5541815121049617,1.0423318330065252,1292.346198224777,5905.358192990471
1650808800000,2022-04-24 14:00:00,1.873943665125165,1.16274093438291,16312.246572852378,22543.542291455735
1650812400000,2022-04-24 15:00:00,0.6304235830971077,0.8587858370383099,2599.0382711779566,7468.628188951435
1650816000000,2022-04-24 16:00:00,0.583265701034486,0.7923059041467271,1753.161355147434,7045.266402795557
1650819600000,2022-04-24 17:00:00,0.5485981469754094,0.7368788648327185,2155.0532030427667,6267.733829194053
1650823200000,2022-04-24 18:00:00,0.3574900042670702,0.7224144896471575,1259.8249929936933,5201.837052090139
1650826800000,2022-04-24 19:00:00,0.7251404324406704,0.7532918635778386,4364.966283770467,7977.269897279815
1650830400000,2022-04-24 20:00:00,0.2879333282873899,0.7152564087467569,942.4194798934908,2998.5376807848784
