start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
1730872800000,2024-11-06 06:00:00,17.779259896657123,38.02719217910097,14118.710073998098,30402.53442328368
1730876400000,2024-11-06 07:00:00,75.30453174899611,46.1297948209372,85284.38845976374,116420.80608394796
1730880000000,2024-11-06 08:00:00,70.67559886677724,49.91787245106692,87043.16561169455,123470.27122025983
1730883600000,2024-11-06 09:00:00,44.46871642231118,48.12966988212543,50335.7429318642,77242.16042555452
1730887200000,2024-11-06 10:00:00,24.971470308020304,42.7573038911987,19225.882512113585,33486.74168305523
1730890800000,2024-11-06 11:00:00,26.32507772047907,41.299474045780855,29555.125518314675,39382.31626983669
1730894400000,2024-11-06 12:00:00,24.217592603270106,40.53460679521587,16995.568756210374,39741.06946196624
1730898000000,2024-11-06 13:00:00,63.63653940623204,47.08564672515515,83494.87488984625,93100.25715131748
1730901600000,2024-11-06 14:00:00,29.69160526511066,40.56951437031437,24431.90158006671,52049.38402973898
1730905200000,2024-11-06 15:00:00,29.207387481173697,34.64548417237101,27782.208553976012,48250.60411889894
1730908800000,2024-11-06 16:00:00,45.62051974695914,34.81002750446358,56575.85743487375,78832.25812274539
1730912400000,2024-11-06 17:00:00,27.97178676979284,35.238644141859645,27581.4724286847,42125.51087530802
1730916000000,2024-11-06 18:00:00,18.642492001026405,34.14113189622355,20908.01672763932,27684.10062152421
1730919600000,2024-11-06 19:00:00,42.425813181689485,36.74230626456917,47056.61864209782,61050.74516845116
1730923200000,2024-11-06 20:00:00,24.80757299305538,31.195311062686795,22925.489525974397,39642.5016429025
1730926800000,2024-11-06 21:00:00,19.64870758245764,29.760611393736365,21470.361898673236,31202.14764094273
1730930400000,2024-11-06 22:00:00,32.52255745554743,30.234207104361182,38522.35933637658,51873.479141598145
1730934000000,2024-11-06 23:00:00,15.758176818250377,25.96815811454565,15766.759482663474,26457.97887784238
1730937600000,2024-11-07 00:00:00,13.92736591724451,23.961812278467317,14702.111598271507,19762.93223656996
1730941200000,2024-11-07 01:00:00,42.42247031934036,27.358952038226455,29612.66841119284,78227.03526886363
1730944800000,2024-11-07 02:00:00,46.22377222514056,27.90151761586233,61274.41423028126,86993.13932771454
1730948400000,2024-11-07 03:00:00,26.91821311736457,28.203037633620777,22060.020152184243,55424.600808653646
1730952000000,2024-11-07 04:00:00,15.71555995917435,27.641159401723165,23178.326309048633,43736.40336638221
1730955600000,2024-11-07 05:00:00,11.423135935941078,24.62695632749369,10409.097849658829,18859.59743023872
1730959200000,2024-11-07 06:00:00,25.72162916983868,26.05030666343487,18223.731746847618,40022.85498826899
1730962800000,2024-11-07 07:00:00,82.07991545339539,35.78638516859929,99534.45579921384,112121.1645093381
1730966400000,2024-11-07 08:00:00,22.796968671939428,32.98274207611344,19542.39423888303,30319.968333679437
1730970000000,2024-11-07 09:00:00,11.75762709313732,28.05900705725583,5342.862585787036,11816.415228603006
1730973600000,2024-11-07 10:00:00,13.197617609864356,26.0989219847558,8582.354444439683,15269.64357461306
1730977200000,2024-11-07 11:00:00,17.402163165877763,26.339865299999143,14299.778139628468,21630.888815186056
1730980800000,2024-11-07 12:00:00,46.83375719621344,31.398525480038053,55348.97084008311,67955.78169170569
1730984400000,2024-11-07 13:00:00,28.26957476024018,31.762517707238267,33989.62870576028,54164.50524062019
1730988000000,2024-11-07 14:00:00,34.73169443371592,24.998486132998345,38569.02600908782,53278.419261320225
1730991600000,2024-11-07 15:00:00,24.76096811051051,25.27905748136564,14334.784373205255,33377.78501296817
1730995200000,2024-11-07 16:00:00,37.118037767877375,28.90197329204279,34738.71928024617,53969.62691449371
1730998800000,2024-11-07 17:00:00,22.278572710442766,30.199252592125426,17042.52313196402,35556.60204586665
1731002400000,2024-11-07 18:00:00,29.07036345839756,31.86613834819968,25138.467362637264,45843.96317389296
1731006000000,2024-11-07 19:00:00,33.7590497818403,29.998323003289237,31094.63800601688,50638.57467276045
