datetime,signal,return,position,strategy_return,trades,transaction_cost,cum_return,cum_strategy_value,peak,drawdown
2019-10-19,0,,,,,,1.0,100000.0,100000.0,0.0
2019-10-20,0,0.0341129439181187,0.0,,,,1.0,100000.0,100000.0,0.0
2019-10-21,0,-0.002006514784813729,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-22,0,-0.02205019910409245,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-23,0,-0.06930527659648744,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-24,1,-0.007186872069658401,0.0,-0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-25,1,0.16712879569848949,1.0,0.16612879569848948,1.0,0.001,1.1661287956984894,116612.87956984894,116612.87956984894,0.0
2019-10-26,1,0.06730867052023104,1.0,0.06730867052023104,0.0,0.0,1.2446193745923129,124461.93745923128,124461.93745923128,0.0
2019-10-27,1,0.03261404082658337,1.0,0.03261404082658337,0.0,0.0,1.2852114416888232,128521.14416888231,128521.14416888231,0.0
2019-10-28,1,-0.03314270369608896,1.0,-0.03314270369608896,0.0,0.0,1.2426160596901072,124261.60596901072,128521.14416888231,-0.03314270369608889
2019-10-29,1,0.021444318112778582,1.0,0.021444318112778582,0.0,0.0,1.2692631137661494,126926.31137661495,128521.14416888231,-0.012409108264486695
2019-10-30,1,-0.026523576158096418,1.0,-0.026523576158096418,0.0,0.0,1.2355977169035104,123559.77169035104,128521.14416888231,-0.038603550494475905
2019-10-31,1,-0.001669339792478075,1.0,-0.001669339792478075,0.0,0.0,1.2335350844671884,123353.50844671884,128521.14416888231,-0.040208447843982566
2019-11-01,1,0.008853551912568314,1.0,0.008853551912568314,0.0,0.0,1.244456251373493,124445.62513734929,128521.14416888231,-0.03171088351172487
2019-11-02,1,0.00615208953299784,1.0,0.00615208953299784,0.0,0.0,1.2521122576518415,125211.22576518415,128521.14416888231,-0.025753882173261588
2019-11-03,1,-0.009681517689872798,1.0,-0.009681517689872798,0.0,0.0,1.2399899106796786,123998.99106796786,128521.14416888231,-0.0351860631972911
2019-11-04,1,0.021481036934597908,1.0,0.021481036934597908,0.0,0.0,1.2666261797495175,126662.61797495175,128521.14416888231,-0.014460859385817329
2019-11-05,1,-0.008755292449757479,1.0,-0.008755292449757479,0.0,0.0,1.2555364971212915,125553.64971212915,128521.14416888231,-0.02308954278257707
2019-11-06,1,0.003264184168706663,1.0,0.003264184168706663,0.0,0.0,1.2596347994784283,125963.47994784283,128521.14416888231,-0.019900727133883883
2019-11-07,1,-0.013266835052870518,1.0,-0.013266835052870518,0.0,0.0,1.2429234323668923,124292.34323668922,128521.14416888231,-0.032903542522437094
2019-11-08,1,-0.04822422567475504,1.0,-0.04822422567475504,0.0,0.0,1.1829844122679902,118298.44122679903,128521.14416888231,-0.0795410203370911
2019-11-09,1,0.004116225243674165,1.0,0.004116225243674165,0.0,0.0,1.1878538425686407,118785.38425686407,128521.14416888231,-0.07575220384923616
2019-11-10,1,0.026121448392094182,1.0,0.026121448392094182,0.0,0.0,1.2188823054146483,121888.23054146483,128521.14416888231,-0.05160951274057713
2019-11-11,1,-0.03455030299812745,1.0,-0.03455030299812745,0.0,0.0,1.176769552443516,117676.9552443516,128521.14416888231,-0.08437669143593197
2019-11-12,1,0.010089438224387237,1.0,0.010089438224387237,0.0,0.0,1.1886424961472346,118864.24961472346,128521.14416888231,-0.07513856662736579
2019-11-13,1,-0.004790745151411979,1.0,-0.004790745151411979,0.0,0.0,1.182948012872055,118294.80128720551,128521.14416888231,-0.07956934205502361
2019-11-14,1,-0.015101267726980616,1.0,-0.015101267726980616,0.0,0.0,1.1650839982225745,116508.39982225744,128521.14416888231,-0.09346901184477166
2019-11-15,1,-0.019552778500969037,1.0,-0.019552778500969037,0.0,0.0,1.142303368870305,114230.3368870305,128521.14416888231,-0.11119421146043547
2019-11-16,1,0.0020995436236539433,1.0,0.0020995436236539433,0.0,0.0,1.1447016846246951,114470.16846246952,128521.14416888231,-0.1093281249344404
2019-11-17,1,0.0015286666211287159,1.0,0.0015286666211287159,0.0,0.0,1.1464515518811307,114645.15518811307,128521.14416888231,-0.10796658456864959
2019-11-18,1,-0.03772089500990128,1.0,-0.03772089500990128,0.0,0.0,1.103206373258684,110320.6373258684,128521.14416888231,-0.14161488337745934
2019-11-19,1,-0.0063006674601565615,1.0,-0.0063006674601565615,0.0,0.0,1.0962554367608557,109625.54367608557,128521.14416888231,-0.1470232825500457
2019-11-20,1,-0.004630028161393018,1.0,-0.004630028161393018,0.0,0.0,1.0911797432165726,109117.97432165727,128521.14416888231,-0.1509725887728516
2019-11-21,1,-0.058332972986329557,1.0,-0.058332972986329557,0.0,0.0,1.0275279847322902,102752.79847322902,128521.14416888231,-0.20049888181661826
2019-11-22,1,-0.047124732678203496,1.0,-0.047124732678203496,0.0,0.0,0.9791060031324079,97910.6003132408,128521.14416888231,-0.23817515828693483
2019-11-23,1,0.00595782296439884,1.0,0.00595782296439884,0.0,0.0,0.9849393433624509,98493.93433624509,128521.14416888231,-0.2336363407501273
2019-11-24,1,-0.055451759446700555,1.0,-0.055451759446700555,0.0,0.0,0.9303227238247251,93032.27238247251,128521.14416888231,-0.2761325540315444
2019-11-25,1,0.029151439095996823,1.0,0.029151439095996823,0.0,0.0,0.9574429700479234,95744.29700479234,128521.14416888231,-0.2550307762668202
