datetime,signal,signal_strength,return,raw_position,position_size,position,strategy_return,position_change,trades,transaction_cost,cum_return,cum_strategy_value,peak,drawdown
2021-04-16,-1,0.974526582672226,-0.02859097094771612,-1.0,0.974526582672226,-0.8681426029238086,0.024812872288949846,-0.28567234510334416,0.28567234510334416,8.167649719415647e-06,0.46917170600197555,46917.170600197554,136856.18666689156,-0.6571790304636055
2021-04-17,-1,0.9735395923416681,-0.021726286848590348,-1.0,0.9735395923416681,-0.864551326353764,0.018783412086586213,0.0035912765700446547,0.0035912765700446547,7.802510491341184e-08,0.4779843514951773,47798.43514951773,136856.18666689156,-0.6507396829208804
2021-04-18,-1,0.9725545660693529,-0.0657360758354032,-1.0,0.9725545660693529,-0.8507614376042352,0.05592481188701605,0.0137898887495288,0.0137898887495288,9.064931726007985e-07,0.5047155364374825,50471.553643748244,136856.18666689156,-0.631207365388631
2021-04-19,-1,0.9720577658801499,-0.009007117022517885,-1.0,0.9720577658801499,-0.8516645751708374,0.007671034357830962,-0.0009031375666022079,0.0009031375666022079,8.134665749818128e-09,0.5085872266584255,50858.72266584255,136856.18666689156,-0.6283783444176122
2021-04-20,0,0.0,0.013951262878949544,-0.6666666666666666,0.0,-0.0,-1.1881796372897237e-05,0.8516645751708374,0.8516645751708374,1.1881796372897237e-05,0.5085811837285604,50858.11837285604,136856.18666689156,-0.6283827599504517
2021-04-21,-1,0.9734142389166942,-0.0462778600318805,-0.6666666666666666,0.9734142389166942,-0.5638318710022888,0.02606683947534947,-0.5638318710022888,0.5638318710022888,2.6092932407757225e-05,0.521838287804996,52183.8287804996,136856.18666689156,-0.6186958730078076
2021-04-22,-1,0.9755212773223526,-0.03876189591078061,-0.6666666666666666,0.9755212773223526,-0.5628417416053724,0.021816774623057297,0.0009901293969164504,0.0009901293969164504,3.837929262147943e-08,0.5332231161197197,53322.31161197197,136856.18666689156,-0.6103770468063774
2021-04-23,-1,0.9786150430020887,-0.011447248659518072,-1.0,0.9786150430020887,-0.8490395158964202,0.00971589028313506,-0.28619777429104787,0.28619777429104787,3.2761770881102536e-06,0.5384038534123704,53840.38534123704,136856.18666689156,-0.606591512941357
2021-04-24,-1,0.9826017503513427,-0.02015194056955616,-1.0,0.9826017503513427,-0.8539256350594919,0.017208160183756392,-0.004886119163071689,0.004886119163071689,9.846478298999016e-08,0.5476687931654421,54766.87931654421,136856.18666689156,-0.5998216766784026
2021-04-25,-1,0.9873763544402218,-0.02053125823478208,-1.0,0.9873763544402218,-0.8596696834817803,0.017649982335636333,-0.0057440484222883725,0.0057440484222883725,1.1793254147109515e-07,0.5573351376905915,55733.51376905915,136856.18666689156,-0.5927585363406719
2021-04-26,-1,0.9929652369042368,0.10028526041732477,-1.0,0.9929652369042368,-0.8333944745638379,-0.08357981692816288,0.02627520891794244,0.02627520891794244,2.635016168855472e-06,0.5107531689147794,51075.31689147794,136856.18666689156,-0.6267957033188756
2021-04-27,-1,0.9989370537688577,0.01892993763190165,-1.0,0.9989370537688577,-0.8401270427705481,-0.0159036799696167,-0.006732568206710199,0.006732568206710199,1.27447096255548e-07,0.5026303139728912,50263.031397289116,136856.18666689156,-0.6327310250165781
2021-04-28,-1,1.0046836648395947,-0.0026266106124304134,-1.0,1.0,-0.8447938414372449,0.0022189322113720196,-0.004666798666696836,0.004666798666696836,1.2257862904022014e-08,0.5037456165669776,50374.561656697755,136856.18666689156,-0.6319160800577499
2021-04-29,-1,1.009733031246765,-0.023750053999351373,-1.0,1.0,-0.8437223351271708,0.020038425571396415,0.0010715063100741329,0.0010715063100741329,2.5448332724906394e-08,0.5138398856114721,51383.98856114721,136856.18666689156,-0.6245402578239593
2021-04-30,-1,1.0138024596534168,0.07702487733108287,-1.0,1.0,-0.8310355290181982,-0.06401138688008255,0.012686806108972548,0.012686806108972548,9.771996842668434e-07,0.48094828189917876,48094.82818991788,136856.18666689156,-0.6485739566382859
2021-05-01,-1,1.0163662161731926,0.0026381592451028,-1.0,1.0,-0.8310696845528524,-0.0021924942617355145,-3.4155534654134456e-05,3.4155534654134456e-05,9.010773951923389e-11,0.47989380555092326,47989.38055509233,136856.18666689156,-0.6493444562217808
2021-05-02,-1,1.017565996015113,-0.02085211477766391,-1.0,1.0,-0.8302478633125595,0.01731240660299288,0.0008218212402928415,0.0008218212402928415,1.7136710829308445e-08,0.4882019222388784,48820.19222388784,136856.18666689156,-0.6432737648702989
2021-05-03,0,0.0,0.010321324279763067,-0.6666666666666666,0.0,-0.0,-8.569257429829329e-06,0.8302478633125595,0.8302478633125595,8.569257429829329e-06,0.48819773871092903,48819.773871092904,136856.18666689156,-0.6432768217492395
2021-05-04,-1,1.0169289913900295,-0.0690644366154719,-0.6666666666666666,1.0,-0.5537765336471656,0.0382080180429032,-0.5537765336471656,0.5537765336471656,3.824626430721041e-05,0.5068508067201007,50685.08067201007,136856.18666689156,-0.6296471361183127
2021-05-05,-1,1.015599376533625,0.07950030152082133,-0.6666666666666666,1.0,-0.5438494345562901,-0.0432369832365242,0.009927099090875524,0.009927099090875524,7.892073709516755e-07,0.48493610688652494,48493.610688652494,136856.18666689156,-0.645660076685564
