Combination,Total Return,Annual Return,Sharpe Ratio,Max Drawdown,Trades Count,Win Rate,Alpha,Beta
Buy & Hold (Benchmark),9.392179315048311,0.3430897527125212,0.8233266971803604,-0.766695618320954,1,,0.0,1.0
RSI_14_MACD_Signal,-0.38677368564713954,-0.05975676230592253,-0.39676664443613124,-0.4735466448628187,440,0.35,-0.01275133684504079,-0.09010742131712211
EMA_20_MACD_Signal,3.4406021960754094,0.20663988192229343,0.8975516036037064,-0.40354285664473133,772,0.4676165803108808,0.10689086161368877,0.24813989428173522
EMA_20_Bollinger_Lower,0.3721549404341544,0.04066943035557036,0.6835738628124298,-0.1147873311730701,373,0.4906166219839142,0.020979802826771678,0.046842615371783906
MACD_Signal_Bollinger_Lower,-0.8163795399855344,-0.1922926127115533,-0.6238440545531343,-0.8697488261848924,1105,0.41990950226244345,-0.014211342623492735,-0.3624360322516307
EMA_20_RSI_14,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
