datetime,signal,signal_strength,return,raw_position,position_size,position,strategy_return,position_change,trades,transaction_cost,cum_return,cum_strategy_value,peak,drawdown
2019-10-19,0,0.0,,0.0,0.0,0.0,,0.0,0.0,,1.0,100000.0,100000.0,0.0
2019-10-20,0,0.0,0.0341129439181187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-21,0,0.0,-0.002006514784813729,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-22,0,0.0,-0.02205019910409245,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-23,0,0.0,-0.06930527659648744,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-24,0,0.0,-0.007186872069658401,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,100000.0,100000.0,0.0
2019-10-25,1,1052.560736059959,0.16712879569848949,0.3333333333333333,1.0,0.3333333333333333,0.055653888967596994,0.3333333333333333,0.3333333333333333,5.570959856616316e-05,1.055653888967597,105565.3888967597,105565.3888967597,0.0
2019-10-26,1,1171.1388252714855,0.06730867052023104,0.6666666666666666,1.0,0.6666666666666666,0.04485001078998062,0.3333333333333333,0.3333333333333333,2.2436223506743678e-05,1.1029999772782786,110299.99772782785,110299.99772782785,0.0
2019-10-27,1,865.1375087782282,0.03261404082658337,1.0,1.0,1.0,0.032603169479641175,0.33333333333333337,0.33333333333333337,1.0871346942194457e-05,1.1389612724735227,113896.12724735227,113896.12724735227,0.0
2019-10-28,1,437.3093492178219,-0.03314270369608896,1.0,1.0,1.0,-0.03314270369608896,0.0,0.0,0.0,1.1012130164986123,110121.30164986123,113896.12724735227,-0.03314270369608898
2019-10-29,1,219.92423502407635,0.021444318112778582,1.0,1.0,1.0,0.021444318112778582,0.0,0.0,0.0,1.124827778734341,112482.7778734341,113896.12724735227,-0.012409108264486914
2019-10-30,1,123.0111283452228,-0.026523576158096418,1.0,1.0,1.0,-0.026523576158096418,0.0,0.0,0.0,1.0949933234803384,109499.33234803384,113896.12724735227,-0.03860355049447599
2019-10-31,1,79.99777832791493,-0.001669339792478075,1.0,1.0,1.0,-0.001669339792478075,0.0,0.0,0.0,1.0931654075529549,109316.54075529549,113896.12724735227,-0.040208447843982725
2019-11-01,1,58.613841097028775,0.008853551912568314,1.0,1.0,1.0,0.008853551912568314,0.0,0.0,0.0,1.1028438042377489,110284.38042377488,113896.12724735227,-0.03171088351172491
2019-11-02,1,46.85465262170937,0.00615208953299784,1.0,1.0,1.0,0.00615208953299784,0.0,0.0,0.0,1.1096285980623315,110962.85980623314,113896.12724735227,-0.025753882173261647
