datetime,signal,signal_strength,return,raw_position,position_size,position,strategy_return,position_change,trades,transaction_cost,cum_return,cum_strategy_value,peak,drawdown
2021-04-06,0,0.0,-0.01997522424020637,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7687227788912872,76872.27788912872,112417.1854884226,-0.3161874889934379
2021-04-07,0,0.0,-0.035167246842446875,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7687227788912872,76872.27788912872,112417.1854884226,-0.3161874889934379
2021-04-08,0,0.0,0.037560663341793754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7687227788912872,76872.27788912872,112417.1854884226,-0.3161874889934379
2021-04-09,0,0.0,0.0009251188787220421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7687227788912872,76872.27788912872,112417.1854884226,-0.3161874889934379
2021-04-10,0,0.0,0.028472207539772088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7687227788912872,76872.27788912872,112417.1854884226,-0.3161874889934379
2021-04-11,0,0.0,0.004308198747736025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7687227788912872,76872.27788912872,112417.1854884226,-0.3161874889934379
2021-04-12,0,0.0,-0.0029791879541088973,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7687227788912872,76872.27788912872,112417.1854884226,-0.3161874889934379
2021-04-13,-1,0.9499214008679528,0.062401207921459756,-0.3333333333333333,0.9499214008679528,-0.2779941916161549,-0.017364520525349803,-0.2779941916161549,0.2779941916161549,1.7347173351997807e-05,0.7553742764189255,75537.42764189256,112417.1854884226,-0.3280615653763022
2021-04-14,0,0.0,-0.009907507826822815,-0.3333333333333333,0.0,-0.0,-2.754229629248336e-06,0.2779941916161549,0.2779941916161549,2.754229629248336e-06,0.7553721959447123,75537.21959447123,112417.1854884226,-0.32806341604904793
2021-04-15,0,0.0,0.003387068364987922,-0.3333333333333333,0.0,-0.0,-0.0,0.0,0.0,0.0,0.7553721959447123,75537.21959447123,112417.1854884226,-0.32806341604904793
2021-04-16,0,0.0,-0.02859097094771612,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7553721959447123,75537.21959447123,112417.1854884226,-0.32806341604904793
2021-04-17,0,0.0,-0.021726286848590348,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7553721959447123,75537.21959447123,112417.1854884226,-0.32806341604904793
2021-04-18,0,0.0,-0.0657360758354032,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7553721959447123,75537.21959447123,112417.1854884226,-0.32806341604904793
2021-04-19,0,0.0,-0.009007117022517885,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7553721959447123,75537.21959447123,112417.1854884226,-0.32806341604904793
2021-04-20,0,0.0,0.013951262878949544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7553721959447123,75537.21959447123,112417.1854884226,-0.32806341604904793
2021-04-21,0,0.0,-0.0462778600318805,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7553721959447123,75537.21959447123,112417.1854884226,-0.32806341604904793
2021-04-22,0,0.0,-0.03876189591078061,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7553721959447123,75537.21959447123,112417.1854884226,-0.32806341604904793
2021-04-23,0,0.0,-0.011447248659518072,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.7553721959447123,75537.21959447123,112417.1854884226,-0.32806341604904793
2021-04-24,-1,0.9573562752954525,-0.02015194056955616,-0.3333333333333333,0.9573562752954525,-0.2773287228074333,0.005583123228306064,-0.2773287228074333,0.2773287228074333,5.5887119402463105e-06,0.7595895319979078,75958.95319979078,112417.1854884226,-0.32431191129924275
2021-04-25,-1,0.9448646056430033,-0.02053125823478208,-0.6666666666666666,0.9448646056430033,-0.5484375860082673,0.011254547497916129,-0.271108863200834,0.271108863200834,5.566206080114531e-06,0.7681383684646982,76813.83684646981,112417.1854884226,-0.31670734761118385
2021-04-26,-1,0.9113903660936522,0.10028526041732477,-1.0,0.9113903660936522,-0.7649287880824525,-0.07673279359013545,-0.21649120207418515,0.21649120207418515,2.171087657806934e-05,0.7091969655886331,70919.6965588633,112417.1854884226,-0.3691383016685911
2021-04-27,0,0.0,0.01892993763190165,-0.6666666666666666,0.0,-0.0,-1.448005425124694e-05,0.7649287880824525,0.7649287880824525,1.448005425124694e-05,0.7091866963780966,70918.66963780967,112417.1854884226,-0.36914743658020777
