start_time,close,high,low,open,volume,datetime
1733518800000,4026.62,4060.76,4021.72,4048.42,52031.77,2024-12-06 21:00:00
1733522400000,4028.18,4044.29,4024.51,4026.62,27544.24,2024-12-06 22:00:00
1733526000000,4002.41,4031.0,3993.0,4028.18,58542.41,2024-12-06 23:00:00
1733529600000,4017.01,4028.79,3995.02,4002.41,45751.38,2024-12-07 00:00:00
1733533200000,3985.85,4021.11,3982.23,4017.01,48460.14,2024-12-07 01:00:00
1733536800000,3994.75,4005.23,3979.14,3985.85,32159.51,2024-12-07 02:00:00
1733540400000,3989.84,3998.8,3973.0,3994.75,27603.13,2024-12-07 03:00:00
1733544000000,3998.01,4003.55,3983.62,3989.84,20027.64,2024-12-07 04:00:00
1733547600000,3992.23,4006.86,3984.44,3998.01,19624.08,2024-12-07 05:00:00
1733551200000,3981.35,3995.67,3978.19,3992.23,18252.62,2024-12-07 06:00:00
1733554800000,3988.89,3991.47,3970.56,3981.35,27372.11,2024-12-07 07:00:00
1733558400000,3982.38,3998.83,3976.41,3988.89,23219.32,2024-12-07 08:00:00
1733562000000,3989.47,3995.38,3980.99,3982.38,15157.82,2024-12-07 09:00:00
1733565600000,3985.3,3990.82,3977.59,3989.47,14347.31,2024-12-07 10:00:00
1733569200000,4002.06,4013.55,3984.11,3985.3,33727.21,2024-12-07 11:00:00
1733572800000,4002.7,4009.22,3993.43,4002.06,17598.43,2024-12-07 12:00:00
1733576400000,3998.35,4012.22,3995.01,4002.7,16319.74,2024-12-07 13:00:00
1733580000000,4002.5,4012.64,3978.96,3998.35,41236.13,2024-12-07 14:00:00
1733583600000,4008.36,4011.53,3991.39,4002.5,24188.19,2024-12-07 15:00:00
1733587200000,4001.71,4010.68,3988.0,4008.36,26702.58,2024-12-07 16:00:00
1733590800000,3995.29,4002.21,3990.04,4001.71,11797.93,2024-12-07 17:00:00
1733594400000,4015.1,4020.68,3995.29,3995.29,25324.81,2024-12-07 18:00:00
1733598000000,4015.77,4024.69,4006.13,4015.1,24383.77,2024-12-07 19:00:00
1733601600000,4020.97,4027.99,4011.5,4015.77,10535.31,2024-12-07 20:00:00
1733605200000,4008.51,4026.46,4000.87,4020.97,16949.3,2024-12-07 21:00:00
1733608800000,3997.11,4011.75,3996.11,4008.51,17737.38,2024-12-07 22:00:00
1733612400000,3999.15,4015.67,3996.42,3997.11,15390.78,2024-12-07 23:00:00
1733616000000,4007.39,4010.15,3996.52,3999.15,10095.68,2024-12-08 00:00:00
1733619600000,3996.6,4012.75,3989.5,4007.39,13029.75,2024-12-08 01:00:00
1733623200000,4001.52,4007.0,3993.0,3996.6,8058.34,2024-12-08 02:00:00
1733626800000,3992.95,4006.02,3991.76,4001.52,11089.67,2024-12-08 03:00:00
1733630400000,3982.51,3999.64,3982.51,3992.95,26770.78,2024-12-08 04:00:00
1733634000000,3973.81,3987.55,3965.0,3982.51,35089.69,2024-12-08 05:00:00
1733637600000,3983.3,3986.74,3962.13,3973.81,22981.12,2024-12-08 06:00:00
1733641200000,3983.79,3991.4,3976.31,3983.3,19073.69,2024-12-08 07:00:00
1733644800000,3943.05,3985.41,3940.0,3983.79,71581.87,2024-12-08 08:00:00
1733648400000,3939.59,3961.99,3926.04,3943.05,49466.39,2024-12-08 09:00:00
1733652000000,3966.09,3969.0,3939.59,3939.59,29348.54,2024-12-08 10:00:00
1733655600000,3975.15,3983.8,3959.55,3966.09,31646.07,2024-12-08 11:00:00
1733659200000,3989.1,3996.43,3961.91,3975.15,35863.39,2024-12-08 12:00:00
1733662800000,4000.99,4007.45,3983.0,3989.1,39872.97,2024-12-08 13:00:00
1733666400000,3982.57,4001.6,3979.18,4000.99,21920.43,2024-12-08 14:00:00
1733670000000,3994.67,4004.59,3957.91,3982.57,64102.22,2024-12-08 15:00:00
1733673600000,3987.34,4004.38,3979.47,3994.67,31234.73,2024-12-08 16:00:00
1733677200000,3988.88,3994.6,3976.4,3987.34,17442.43,2024-12-08 17:00:00
1733680800000,3970.84,3991.06,3966.87,3988.88,19968.53,2024-12-08 18:00:00
1733684400000,3993.32,3996.39,3966.38,3970.84,27468.39,2024-12-08 19:00:00
1733688000000,3979.6,3996.25,3978.26,3993.32,13615.61,2024-12-08 20:00:00
1733691600000,3993.9,3995.97,3977.76,3979.6,13968.34,2024-12-08 21:00:00
1733695200000,4013.91,4014.53,3991.17,3993.9,22204.92,2024-12-08 22:00:00
1733698800000,4007.98,4020.11,3990.0,4013.91,49267.59,2024-12-08 23:00:00
1733702400000,3975.0,4009.62,3955.1,4007.98,90526.56,2024-12-09 00:00:00
1733706000000,3947.26,3983.13,3944.8,3975.0,56614.58,2024-12-09 01:00:00
1733709600000,3944.01,3962.0,3936.6,3947.26,32324.95,2024-12-09 02:00:00
1733713200000,3932.54,3957.83,3906.83,3944.01,63173.48,2024-12-09 03:00:00
1733716800000,3943.36,3943.67,3904.39,3932.54,44512.34,2024-12-09 04:00:00
1733720400000,3946.38,3951.93,3936.87,3943.36,16344.01,2024-12-09 05:00:00
1733724000000,3918.16,3946.6,3908.07,3946.38,40784.74,2024-12-09 06:00:00
1733727600000,3920.72,3929.93,3883.0,3918.16,104696.27,2024-12-09 07:00:00
1733731200000,3869.55,3923.45,3861.33,3920.72,102156.49,2024-12-09 08:00:00
1733734800000,3876.31,3889.23,3852.17,3869.55,77201.46,2024-12-09 09:00:00
1733738400000,3887.59,3891.75,3867.78,3876.31,26645.39,2024-12-09 10:00:00
1733742000000,3853.82,3887.59,3845.02,3887.59,56681.45,2024-12-09 11:00:00
1733745600000,3867.0,3870.0,3838.72,3853.82,51525.53,2024-12-09 12:00:00
1733749200000,3899.55,3907.04,3852.27,3867.0,77770.07,2024-12-09 13:00:00
1733752800000,3934.06,3948.2,3880.04,3899.55,80670.55,2024-12-09 14:00:00
1733756400000,3826.25,3940.6,3806.38,3934.06,219950.9,2024-12-09 15:00:00
1733760000000,3848.64,3869.9,3810.02,3826.25,107452.19,2024-12-09 16:00:00
1733763600000,3829.51,3866.66,3829.07,3848.64,34388.05,2024-12-09 17:00:00
1733767200000,3839.38,3861.08,3828.65,3829.51,33838.34,2024-12-09 18:00:00
1733770800000,3798.29,3839.38,3788.54,3839.38,92707.96,2024-12-09 19:00:00
1733774400000,3745.92,3806.82,3725.0,3798.29,222832.6,2024-12-09 20:00:00
1733778000000,3698.66,3750.15,3447.36,3745.92,687760.33,2024-12-09 21:00:00
1733781600000,3714.85,3732.55,3504.51,3698.66,355953.9,2024-12-09 22:00:00
1733785200000,3713.0,3736.43,3689.6,3714.85,96179.67,2024-12-09 23:00:00
1733788800000,3768.75,3783.44,3678.84,3713.0,150714.71,2024-12-10 00:00:00
1733792400000,3759.36,3776.0,3725.6,3768.75,69536.55,2024-12-10 01:00:00
1733796000000,3687.86,3759.72,3686.38,3759.36,61708.72,2024-12-10 02:00:00
1733799600000,3682.71,3699.56,3614.16,3687.86,233087.19,2024-12-10 03:00:00
1733803200000,3709.96,3711.29,3638.01,3682.71,130330.07,2024-12-10 04:00:00
1733806800000,3703.85,3715.68,3680.15,3709.96,49057.84,2024-12-10 05:00:00
1733810400000,3740.44,3746.23,3692.1,3703.85,62851.89,2024-12-10 06:00:00
1733814000000,3735.01,3741.29,3719.64,3740.44,32137.51,2024-12-10 07:00:00
1733817600000,3744.13,3753.39,3714.04,3735.01,49438.12,2024-12-10 08:00:00
1733821200000,3753.0,3767.72,3737.88,3744.13,47806.3,2024-12-10 09:00:00
1733824800000,3765.06,3774.0,3751.39,3753.0,44683.59,2024-12-10 10:00:00
1733828400000,3750.6,3765.07,3738.23,3765.06,38855.93,2024-12-10 11:00:00
1733832000000,3677.25,3755.4,3665.18,3750.6,119479.46,2024-12-10 12:00:00
1733835600000,3694.11,3714.15,3672.18,3677.25,64880.52,2024-12-10 13:00:00
1733839200000,3671.8,3732.49,3655.03,3694.11,131985.81,2024-12-10 14:00:00
1733842800000,3567.68,3688.4,3555.0,3671.8,318931.68,2024-12-10 15:00:00
1733846400000,3614.07,3619.68,3529.0,3567.68,279366.24,2024-12-10 16:00:00
1733850000000,3527.28,3616.81,3517.11,3614.07,238967.61,2024-12-10 17:00:00
1733853600000,3580.87,3596.5,3515.42,3527.28,123185.27,2024-12-10 18:00:00
1733857200000,3628.37,3634.61,3577.02,3580.87,58396.03,2024-12-10 19:00:00
1733860800000,3646.68,3658.06,3619.5,3628.37,62120.09,2024-12-10 20:00:00
1733864400000,3639.07,3673.07,3629.84,3646.68,54231.58,2024-12-10 21:00:00
1733868000000,3632.24,3656.0,3628.8,3639.07,30498.4,2024-12-10 22:00:00
1733871600000,3627.84,3652.7,3611.69,3632.24,55425.65,2024-12-10 23:00:00
1733875200000,3610.99,3637.6,3579.83,3627.84,59940.54,2024-12-11 00:00:00
1733878800000,3566.66,3613.21,3563.1,3610.99,59508.4,2024-12-11 01:00:00
1733882400000,3650.27,3657.63,3560.26,3566.66,59484.51,2024-12-11 02:00:00
1733886000000,3664.88,3668.54,3646.96,3650.27,39114.84,2024-12-11 03:00:00
1733889600000,3667.76,3680.29,3656.51,3664.88,26045.41,2024-12-11 04:00:00
1733893200000,3658.91,3674.7,3645.09,3667.76,20008.02,2024-12-11 05:00:00
1733896800000,3674.25,3678.79,3650.11,3658.91,22674.78,2024-12-11 06:00:00
1733900400000,3651.47,3681.52,3649.28,3674.25,23413.86,2024-12-11 07:00:00
1733904000000,3695.78,3707.83,3650.13,3651.47,45275.68,2024-12-11 08:00:00
1733907600000,3699.61,3700.0,3682.17,3695.78,16076.2,2024-12-11 09:00:00
1733911200000,3707.4,3708.39,3694.0,3699.61,19489.57,2024-12-11 10:00:00
1733914800000,3716.25,3727.29,3703.56,3707.4,31145.29,2024-12-11 11:00:00
1733918400000,3721.9,3736.81,3709.17,3716.25,38228.69,2024-12-11 12:00:00
1733922000000,3743.04,3749.84,3708.0,3721.9,80740.15,2024-12-11 13:00:00
1733925600000,3770.53,3778.88,3715.44,3743.04,64671.45,2024-12-11 14:00:00
1733929200000,3786.08,3822.25,3762.81,3770.53,106047.08,2024-12-11 15:00:00
1733932800000,3797.01,3803.8,3779.21,3786.08,48089.84,2024-12-11 16:00:00
1733936400000,3761.74,3813.87,3756.49,3797.01,48759.8,2024-12-11 17:00:00
1733940000000,3790.28,3808.29,3752.12,3761.74,46339.33,2024-12-11 18:00:00
1733943600000,3803.8,3812.55,3788.03,3790.28,24024.05,2024-12-11 19:00:00
1733947200000,3831.76,3839.98,3802.5,3803.8,47397.81,2024-12-11 20:00:00
1733950800000,3828.02,3834.39,3810.84,3831.76,22671.96,2024-12-11 21:00:00
1733954400000,3835.74,3846.17,3821.94,3828.02,24024.45,2024-12-11 22:00:00
1733958000000,3831.68,3848.48,3823.55,3835.74,19057.69,2024-12-11 23:00:00
1733961600000,3818.2,3837.29,3805.89,3831.68,25307.18,2024-12-12 00:00:00
1733965200000,3804.28,3823.79,3795.81,3818.2,23269.7,2024-12-12 01:00:00
1733968800000,3881.53,3886.63,3802.34,3804.28,49002.49,2024-12-12 02:00:00
1733972400000,3936.61,3949.84,3850.32,3881.53,128893.32,2024-12-12 03:00:00
1733976000000,3910.22,3946.3,3894.74,3936.61,55345.74,2024-12-12 04:00:00
1733979600000,3926.88,3947.27,3903.0,3910.22,54763.55,2024-12-12 05:00:00
1733983200000,3938.96,3939.0,3908.37,3926.88,35933.74,2024-12-12 06:00:00
1733986800000,3906.46,3943.47,3903.78,3938.96,30237.47,2024-12-12 07:00:00
1733990400000,3913.37,3924.29,3902.16,3906.46,24396.23,2024-12-12 08:00:00
1733994000000,3923.82,3939.0,3912.64,3913.37,24432.58,2024-12-12 09:00:00
1733997600000,3927.31,3927.81,3892.11,3923.82,56797.15,2024-12-12 10:00:00
1734001200000,3915.2,3939.2,3904.2,3927.31,46066.96,2024-12-12 11:00:00
1734004800000,3958.34,3964.99,3914.94,3915.2,55102.48,2024-12-12 12:00:00
1734008400000,3944.0,3982.24,3916.07,3958.34,162841.04,2024-12-12 13:00:00
1734012000000,3983.53,3986.89,3932.16,3944.0,101527.66,2024-12-12 14:00:00
1734015600000,3960.05,3989.98,3940.0,3983.53,82627.37,2024-12-12 15:00:00
1734019200000,3936.38,3988.87,3930.06,3960.05,76026.26,2024-12-12 16:00:00
1734022800000,3963.62,3969.55,3930.01,3936.38,38265.49,2024-12-12 17:00:00
1734026400000,3921.6,3968.65,3912.8,3963.62,43540.53,2024-12-12 18:00:00
1734030000000,3871.97,3934.67,3854.0,3921.6,156070.04,2024-12-12 19:00:00
1734033600000,3887.86,3903.94,3864.76,3871.97,61646.52,2024-12-12 20:00:00
1734037200000,3866.0,3896.8,3862.01,3887.86,46560.38,2024-12-12 21:00:00
1734040800000,3883.11,3887.99,3836.66,3866.0,85214.0,2024-12-12 22:00:00
1734044400000,3881.79,3887.79,3858.27,3883.11,30613.97,2024-12-12 23:00:00
1734048000000,3889.32,3907.06,3874.38,3881.79,34908.51,2024-12-13 00:00:00
1734051600000,3885.01,3890.32,3852.6,3889.32,50834.63,2024-12-13 01:00:00
1734055200000,3907.87,3928.69,3878.85,3885.01,54792.79,2024-12-13 02:00:00
1734058800000,3933.2,3942.62,3902.52,3907.87,29819.61,2024-12-13 03:00:00
1734062400000,3917.63,3936.79,3911.91,3933.2,23612.77,2024-12-13 04:00:00
1734066000000,3909.93,3932.78,3905.38,3917.63,22739.63,2024-12-13 05:00:00
1734069600000,3887.0,3929.96,3886.59,3909.93,43915.25,2024-12-13 06:00:00
1734073200000,3885.58,3905.0,3870.86,3887.0,47598.53,2024-12-13 07:00:00
1734076800000,3898.63,3904.5,3873.49,3885.58,30054.88,2024-12-13 08:00:00
1734080400000,3890.02,3904.0,3875.55,3898.63,20404.53,2024-12-13 09:00:00
1734084000000,3904.73,3911.41,3872.01,3890.02,27433.69,2024-12-13 10:00:00
1734087600000,3902.06,3924.81,3901.28,3904.73,31516.01,2024-12-13 11:00:00
1734091200000,3931.42,3932.37,3901.87,3902.06,33316.53,2024-12-13 12:00:00
1734094800000,3925.18,3937.64,3908.15,3931.42,34671.11,2024-12-13 13:00:00
1734098400000,3952.52,3952.95,3918.24,3925.18,46768.8,2024-12-13 14:00:00
1734102000000,3885.37,3969.9,3877.0,3952.52,154607.54,2024-12-13 15:00:00
1734105600000,3912.84,3936.38,3878.26,3885.37,99503.75,2024-12-13 16:00:00
1734109200000,3940.75,3948.22,3907.03,3912.84,54404.26,2024-12-13 17:00:00
1734112800000,3913.43,3943.1,3913.0,3940.75,34178.86,2024-12-13 18:00:00
1734116400000,3918.38,3928.0,3911.17,3913.43,16961.78,2024-12-13 19:00:00
1734120000000,3917.39,3936.6,3908.63,3918.38,34802.57,2024-12-13 20:00:00
1734123600000,3901.93,3917.98,3889.42,3917.39,40679.01,2024-12-13 21:00:00
1734127200000,3895.85,3906.79,3892.41,3901.93,17634.37,2024-12-13 22:00:00
1734130800000,3906.81,3913.93,3894.58,3895.85,19114.82,2024-12-13 23:00:00
1734134400000,3905.64,3927.4,3894.74,3906.81,30227.48,2024-12-14 00:00:00
1734138000000,3925.97,3946.6,3905.51,3905.64,45926.18,2024-12-14 01:00:00
1734141600000,3913.0,3928.39,3902.42,3925.97,21969.76,2024-12-14 02:00:00
1734145200000,3911.18,3922.54,3904.37,3913.0,12495.77,2024-12-14 03:00:00
1734148800000,3916.45,3919.05,3906.0,3911.18,15734.22,2024-12-14 04:00:00
1734152400000,3921.39,3922.89,3909.82,3916.45,8839.18,2024-12-14 05:00:00
1734156000000,3932.39,3937.42,3918.93,3921.39,19517.01,2024-12-14 06:00:00
1734159600000,3922.11,3935.02,3920.14,3932.39,13620.71,2024-12-14 07:00:00
1734163200000,3926.82,3932.93,3918.01,3922.11,12952.91,2024-12-14 08:00:00
1734166800000,3912.67,3928.55,3912.12,3926.82,12717.84,2024-12-14 09:00:00
1734170400000,3898.84,3913.6,3886.1,3912.67,45694.56,2024-12-14 10:00:00
1734174000000,3894.42,3906.59,3891.33,3898.84,12967.41,2024-12-14 11:00:00
1734177600000,3869.35,3899.37,3865.51,3894.42,49506.13,2024-12-14 12:00:00
1734181200000,3863.76,3876.29,3846.0,3869.35,61709.48,2024-12-14 13:00:00
1734184800000,3884.3,3893.74,3862.83,3863.76,36278.66,2024-12-14 14:00:00
1734188400000,3888.73,3894.93,3877.71,3884.3,18411.0,2024-12-14 15:00:00
1734192000000,3893.77,3898.42,3868.39,3888.73,33641.86,2024-12-14 16:00:00
1734195600000,3858.5,3898.85,3841.21,3893.77,58636.7,2024-12-14 17:00:00
1734199200000,3832.99,3863.16,3826.8,3858.5,63985.57,2024-12-14 18:00:00
1734202800000,3859.39,3861.51,3829.52,3832.99,40972.94,2024-12-14 19:00:00
1734206400000,3832.8,3866.87,3822.65,3859.39,42950.07,2024-12-14 20:00:00
1734210000000,3847.42,3858.0,3831.41,3832.8,21153.34,2024-12-14 21:00:00
1734213600000,3862.68,3868.78,3838.46,3847.42,22537.26,2024-12-14 22:00:00
1734217200000,3870.04,3877.2,3855.43,3862.68,27413.75,2024-12-14 23:00:00
1734220800000,3864.53,3875.8,3856.13,3870.04,12995.41,2024-12-15 00:00:00
1734224400000,3890.01,3896.0,3864.0,3864.53,28876.11,2024-12-15 01:00:00
1734228000000,3884.07,3893.54,3882.4,3890.01,11619.29,2024-12-15 02:00:00
1734231600000,3874.18,3887.27,3872.2,3884.07,12381.98,2024-12-15 03:00:00
1734235200000,3897.97,3912.12,3871.44,3874.18,47615.81,2024-12-15 04:00:00
1734238800000,3893.2,3905.49,3892.0,3897.97,11991.01,2024-12-15 05:00:00
1734242400000,3877.87,3895.52,3876.2,3893.2,19031.27,2024-12-15 06:00:00
1734246000000,3844.45,3884.57,3830.61,3877.87,53178.25,2024-12-15 07:00:00
1734249600000,3861.62,3865.36,3836.35,3844.45,35158.66,2024-12-15 08:00:00
1734253200000,3863.07,3867.51,3850.18,3861.62,21080.93,2024-12-15 09:00:00
1734256800000,3860.01,3874.38,3860.0,3863.07,17086.8,2024-12-15 10:00:00
1734260400000,3877.42,3878.97,3858.24,3860.01,16504.01,2024-12-15 11:00:00
1734264000000,3884.51,3893.87,3868.0,3877.42,32025.8,2024-12-15 12:00:00
1734267600000,3883.97,3893.9,3872.46,3884.51,23635.79,2024-12-15 13:00:00
1734271200000,3907.16,3911.19,3882.9,3883.97,23826.78,2024-12-15 14:00:00
1734274800000,3894.98,3909.48,3887.0,3907.16,20072.71,2024-12-15 15:00:00
1734278400000,3912.24,3920.93,3885.44,3894.98,36910.15,2024-12-15 16:00:00
1734282000000,3910.29,3917.36,3903.16,3912.24,19171.25,2024-12-15 17:00:00
1734285600000,3898.03,3914.03,3891.2,3910.29,17207.33,2024-12-15 18:00:00
1734289200000,3903.64,3914.23,3897.14,3898.03,12424.98,2024-12-15 19:00:00
1734292800000,3890.89,3911.29,3888.5,3903.64,17313.58,2024-12-15 20:00:00
1734296400000,3854.5,3892.68,3842.66,3890.89,69311.47,2024-12-15 21:00:00
1734300000000,3888.57,3898.31,3848.91,3854.5,43508.22,2024-12-15 22:00:00
1734303600000,3961.1,3976.0,3886.63,3888.57,166849.0,2024-12-15 23:00:00
1734307200000,4002.2,4022.7,3950.1,3961.1,120560.52,2024-12-16 00:00:00
1734310800000,4011.76,4027.68,3993.0,4002.2,67733.69,2024-12-16 01:00:00
1734314400000,3972.43,4015.43,3961.64,4011.76,57258.89,2024-12-16 02:00:00
1734318000000,3943.4,3979.31,3928.4,3972.43,66306.89,2024-12-16 03:00:00
1734321600000,3955.81,3963.46,3936.4,3943.4,27565.67,2024-12-16 04:00:00
1734325200000,3967.8,3975.38,3946.82,3955.81,24339.92,2024-12-16 05:00:00
1734328800000,3958.67,3977.04,3950.59,3967.8,24711.26,2024-12-16 06:00:00
1734332400000,3975.46,3984.8,3953.33,3958.67,28748.64,2024-12-16 07:00:00
1734336000000,3953.29,3977.67,3952.6,3975.46,26620.07,2024-12-16 08:00:00
1734339600000,3943.25,3961.8,3936.07,3953.29,41734.63,2024-12-16 09:00:00
1734343200000,3951.34,3955.4,3925.25,3943.25,42607.43,2024-12-16 10:00:00
1734346800000,3910.3,3953.62,3902.15,3951.34,54785.7,2024-12-16 11:00:00
1734350400000,3894.39,3926.0,3885.43,3910.3,82582.07,2024-12-16 12:00:00
1734354000000,3898.59,3914.34,3882.28,3894.39,41900.68,2024-12-16 13:00:00
1734357600000,3930.17,3960.4,3898.22,3898.59,90600.88,2024-12-16 14:00:00
1734361200000,3941.72,3949.27,3917.06,3930.17,57880.52,2024-12-16 15:00:00
1734364800000,3963.41,3974.66,3939.64,3941.72,69995.92,2024-12-16 16:00:00
1734368400000,4036.98,4044.99,3958.53,3963.41,126466.57,2024-12-16 17:00:00
1734372000000,4089.13,4111.26,4034.97,4036.98,164250.71,2024-12-16 18:00:00
1734375600000,4059.69,4090.9,4035.88,4089.13,108259.03,2024-12-16 19:00:00
1734379200000,4045.13,4074.8,4037.79,4059.69,52374.81,2024-12-16 20:00:00
1734382800000,4049.03,4056.0,4019.0,4045.13,61891.3,2024-12-16 21:00:00
1734386400000,4032.19,4055.56,4024.99,4049.03,27940.54,2024-12-16 22:00:00
1734390000000,3986.49,4039.98,3980.0,4032.19,71100.39,2024-12-16 23:00:00
1734393600000,3958.77,3991.03,3946.21,3986.49,93277.46,2024-12-17 00:00:00
1734397200000,3988.44,3994.2,3943.62,3958.77,59665.32,2024-12-17 01:00:00
1734400800000,4010.58,4025.44,3987.4,3988.44,55803.18,2024-12-17 02:00:00
1734404400000,4036.23,4043.65,4008.79,4010.58,39634.14,2024-12-17 03:00:00
1734408000000,4006.22,4036.46,3999.96,4036.23,55360.42,2024-12-17 04:00:00
1734411600000,4024.9,4028.49,4000.24,4006.22,26670.6,2024-12-17 05:00:00
1734415200000,4011.28,4032.43,3996.4,4024.9,37637.23,2024-12-17 06:00:00
1734418800000,3995.0,4026.12,3981.61,4011.28,54126.44,2024-12-17 07:00:00
1734422400000,4010.96,4020.0,3993.0,3995.0,29767.6,2024-12-17 08:00:00
1734426000000,4027.8,4032.61,4003.6,4010.96,36347.32,2024-12-17 09:00:00
1734429600000,4012.25,4030.57,4003.8,4027.8,39891.06,2024-12-17 10:00:00
1734433200000,3998.19,4024.62,3990.02,4012.25,38158.29,2024-12-17 11:00:00
1734436800000,4002.98,4014.0,3987.0,3998.19,42482.53,2024-12-17 12:00:00
1734440400000,4008.18,4020.61,3994.16,4002.98,27020.05,2024-12-17 13:00:00
1734444000000,4020.82,4026.53,3976.11,4008.18,88098.51,2024-12-17 14:00:00
1734447600000,3939.0,4021.23,3912.98,4020.82,222930.01,2024-12-17 15:00:00
1734451200000,3953.39,3962.85,3922.06,3939.0,77249.27,2024-12-17 16:00:00
1734454800000,3975.5,3986.33,3942.11,3953.39,56092.98,2024-12-17 17:00:00
1734458400000,3931.2,3982.83,3925.26,3975.5,67802.05,2024-12-17 18:00:00
1734462000000,3945.01,3957.0,3917.06,3931.2,52703.32,2024-12-17 19:00:00
1734465600000,3936.42,3952.52,3925.0,3945.01,53791.88,2024-12-17 20:00:00
1734469200000,3932.18,3951.88,3919.86,3936.42,29965.48,2024-12-17 21:00:00
1734472800000,3881.29,3937.78,3850.26,3932.18,147079.02,2024-12-17 22:00:00
1734476400000,3891.38,3893.06,3845.22,3881.29,105544.77,2024-12-17 23:00:00
1734480000000,3882.22,3902.31,3852.46,3891.38,77540.92,2024-12-18 00:00:00
1734483600000,3842.33,3896.71,3830.18,3882.22,78588.41,2024-12-18 01:00:00
1734487200000,3869.44,3878.93,3835.13,3842.33,47797.08,2024-12-18 02:00:00
1734490800000,3848.01,3873.33,3835.76,3869.44,48280.64,2024-12-18 03:00:00
1734494400000,3839.55,3850.35,3811.1,3848.01,92668.58,2024-12-18 04:00:00
1734498000000,3835.54,3860.81,3826.9,3839.55,42397.92,2024-12-18 05:00:00
1734501600000,3827.02,3848.37,3802.0,3835.54,70952.88,2024-12-18 06:00:00
1734505200000,3846.16,3855.55,3823.29,3827.02,59720.41,2024-12-18 07:00:00
1734508800000,3842.13,3861.45,3841.05,3846.16,45688.41,2024-12-18 08:00:00
1734512400000,3869.38,3878.48,3840.9,3842.13,57605.19,2024-12-18 09:00:00
1734516000000,3873.3,3877.75,3860.01,3869.38,34767.35,2024-12-18 10:00:00
1734519600000,3882.58,3887.32,3871.82,3873.3,24489.41,2024-12-18 11:00:00
1734523200000,3860.0,3889.94,3846.0,3882.58,67281.36,2024-12-18 12:00:00
1734526800000,3854.59,3874.87,3850.56,3860.0,34096.53,2024-12-18 13:00:00
1734530400000,3835.67,3872.2,3830.59,3854.59,69783.66,2024-12-18 14:00:00
1734534000000,3866.48,3871.49,3822.55,3835.67,62906.88,2024-12-18 15:00:00
1734537600000,3871.4,3879.36,3835.0,3866.48,50354.4,2024-12-18 16:00:00
1734541200000,3879.24,3892.27,3855.1,3871.4,40730.47,2024-12-18 17:00:00
1734544800000,3898.97,3904.54,3866.72,3879.24,33735.57,2024-12-18 18:00:00
1734548400000,3767.39,3908.0,3766.2,3898.97,207922.59,2024-12-18 19:00:00
1734552000000,3693.3,3784.61,3625.61,3767.39,549982.79,2024-12-18 20:00:00
1734555600000,3691.11,3713.23,3660.24,3693.3,107948.06,2024-12-18 21:00:00
1734559200000,3679.0,3702.23,3662.58,3691.11,63992.13,2024-12-18 22:00:00
1734562800000,3624.59,3679.51,3615.46,3679.0,116609.87,2024-12-18 23:00:00
1734566400000,3654.45,3663.69,3623.17,3624.59,64666.72,2024-12-19 00:00:00
1734570000000,3608.0,3655.93,3592.86,3654.45,79837.99,2024-12-19 01:00:00
1734573600000,3646.8,3651.17,3538.56,3608.0,193995.47,2024-12-19 02:00:00
1734577200000,3667.48,3672.04,3642.01,3646.8,70915.44,2024-12-19 03:00:00
1734580800000,3652.44,3675.61,3651.53,3667.48,29141.43,2024-12-19 04:00:00
1734584400000,3669.53,3678.6,3652.1,3652.44,28631.93,2024-12-19 05:00:00
1734588000000,3678.41,3692.34,3662.46,3669.53,28646.1,2024-12-19 06:00:00
1734591600000,3691.42,3696.32,3676.69,3678.41,27966.43,2024-12-19 07:00:00
1734595200000,3667.41,3691.66,3664.48,3691.42,37392.06,2024-12-19 08:00:00
1734598800000,3678.82,3679.1,3662.26,3667.41,23092.62,2024-12-19 09:00:00
1734602400000,3706.12,3719.01,3669.66,3678.82,46900.63,2024-12-19 10:00:00
1734606000000,3704.25,3712.01,3695.31,3706.12,25374.97,2024-12-19 11:00:00
