datetime,start_time,close,high,low,open,volume,Year,Month,Day,DayOfWeek,Quarter,IsMonthEnd,MA_5,MA_20,MA_50,EMA_5,EMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,Bollinger_Middle,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,Daily_Return,Log_Return,Volatility_20d
2020-03-25,1585094400000,6698.5,6745.5,6500.0,6500.0,3665.93304,2020,3,25,2,1,0,36868.33,36631.85,37458.41,6698.5,6698.5,6698.5,6698.5,52.10920512201015,0.0,0.0,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.0006145341786394365,0.0006143454298355138,0.028495054632846427
2020-03-26,1585180800000,6733.5,6767.0,6512.0,6698.5,3904.964,2020,3,26,3,1,0,36868.33,36631.85,37458.41,6710.166666666667,6701.833333333334,6703.884615384615,6701.092592592592,52.10920512201015,2.79202279202309,0.558404558404618,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.005225050384414454,0.005211447173056006,0.028495054632846427
2020-03-27,1585267200000,6354.0,6838.0,6235.0,6733.5,4605.347,2020,3,27,4,1,0,36868.33,36631.85,37458.41,6591.444444444445,6668.70634920635,6650.056213017751,6675.382030178326,52.10920512201015,-25.325817160574843,-4.618439785391274,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,-0.05635999108932943,-0.058010532060635,0.028495054632846427
2020-03-28,1585353600000,6230.5,6354.0,6010.0,6354.0,5750.959,2020,3,28,5,1,0,36868.33,36631.85,37458.41,6471.1296296296305,6626.972411186697,6585.509103322713,6642.427805720672,52.10920512201015,-56.91870239795935,-15.078492307904892,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,-0.019436575385583854,-0.019627949446539165,0.028495054632846427
2020-03-29,1585440000000,5873.0,6247.0,5858.0,6230.5,5347.238,2020,3,29,6,1,0,6377.9,36631.85,37458.41,6271.753086419754,6555.165514883202,6475.892318196142,6585.433153445068,52.10920512201015,-109.54083524892576,-33.97096089610906,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,-0.057379022550357095,-0.05909100986040276,0.028495054632846427
2020-03-30,1585526400000,6389.5,6577.5,5841.5,5873.0,15103.617,2020,3,30,0,1,0,6316.1,36631.85,37458.41,6311.00205761317,6539.387846799087,6462.601192319812,6570.919586523211,52.10920512201015,-108.3183942033993,-48.84044755756712,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.0879448322833305,0.0842904415262385,0.028495054632846427
2020-03-31,1585612800000,6405.0,6509.5,6323.5,6389.5,15717.34,2020,3,31,1,1,1,6250.4,36631.85,37458.41,6342.334705075447,6526.589004246794,6453.739470424456,6558.629246780752,52.10920512201015,-104.88977635629544,-60.050313317312785,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.002425854918225223,0.0024229172820766512,0.028495054632846427
2020-04-01,1585699200000,6642.0,6687.0,6145.0,6405.0,17552.87,2020,4,1,2,2,0,6308.0,36631.85,37458.41,6442.223136716965,6537.58052765186,6482.702628820694,6564.804858130326,52.10920512201015,-82.10222930963118,-64.46069651577646,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.03700234192037466,0.036334187605857216,0.028495054632846427
2020-04-02,1585785600000,6796.5,7230.5,6543.5,6642.0,32569.69,2020,4,2,3,2,0,6421.2,36631.85,37458.41,6560.315424477977,6562.239525018349,6530.979147463665,6581.967461231783,52.10920512201015,-50.98831376811813,-61.7662199662448,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.023261065943992687,0.022994650838610617,0.028495054632846427
2020-04-03,1585872000000,6727.5,7044.0,6604.5,6796.5,12668.382,2020,4,3,4,2,0,6592.1,36631.85,37458.41,6616.043616318652,6577.978617873744,6561.213124776948,6592.747649288688,52.10920512201015,-31.53452451174053,-55.71988087534395,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,-0.010152284263959421,-0.010204170174241736,0.028495054632846427
2020-04-04,1585958400000,6863.5,7012.0,6646.0,6727.5,10039.906,2020,4,4,5,2,0,6686.9,36631.85,37458.41,6698.529077545769,6605.171130457197,6607.718797888187,6612.803378971008,52.10920512201015,-5.084581082821387,-45.592820916839436,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.020215533259011487,0.02001391209065337,0.028495054632846427
2020-04-05,1586044800000,6771.0,6889.0,6680.0,6863.5,10478.195,2020,4,5,6,2,0,6760.1,36631.85,37458.41,6722.68605169718,6620.964356127941,6632.838982828465,6624.521647195378,52.10920512201015,8.317335633087168,-34.810789606854115,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,-0.013477088948787075,-0.013568729206068903,0.028495054632846427
2020-04-06,1586131200000,7322.5,7363.0,6762.0,6771.0,17587.456,2020,4,6,0,2,0,6896.2,36631.85,37458.41,6922.624034464787,6687.7772745919465,6738.940677777932,6676.223747403128,52.10920512201015,62.71693037480418,-15.305245610522459,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.08145030276177812,0.07830301321624311,0.028495054632846427
2020-04-07,1586217600000,7198.5,7458.5,7072.5,7322.5,18539.023,2020,4,7,1,2,0,6976.6,36631.85,37458.41,7014.582689643192,6736.417534154618,6809.642111965943,6714.910877225118,58.95415472779369,94.73123474082422,6.702050459746877,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,-0.016934107203823823,-0.017079128735478632,0.028495054632846427
2020-04-08,1586304000000,7356.5,7417.0,7150.5,7198.5,15491.07,2020,4,8,2,2,0,7102.4,36631.85,37458.41,7128.555126428795,6795.473007092273,6893.774094740413,6762.435997430665,61.152542372881356,131.33809730974735,31.629259829746974,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.021949017156352113,0.02171160517159187,0.028495054632846427
2020-04-09,1586390400000,7282.0,7364.0,7123.0,7356.5,16533.355,2020,4,9,3,2,0,7186.1,36631.85,37458.41,7179.703417619197,6841.808911178723,6953.5011570880415,6800.922219843209,59.173774878742265,152.57893724483256,55.819195312764094,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,-0.010127098484333574,-0.01017872640262292,0.028495054632846427
2020-04-10,1586476800000,6857.0,7287.0,6741.5,7282.0,21525.607,2020,4,10,4,2,0,7203.3,36631.85,37458.41,7072.135611746133,6843.255681542654,6938.654825228343,6805.076129484453,58.286655683690284,133.5786957438895,71.37109539898918,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,-0.0583630870639934,-0.06013552145101431,0.028495054632846427
2020-04-11,1586563200000,6874.5,6938.0,6760.0,6857.0,8607.234,2020,4,11,5,2,0,7113.7,36631.85,37458.41,7006.257074497423,6846.231330919544,6928.7848521162905,6810.21863841153,60.99351314441789,118.56621370476023,80.81011906014339,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.0025521365028438048,0.002548885332923995,0.028495054632846427
2020-04-12,1586649600000,6901.0,7170.0,6780.0,6874.5,13333.274,2020,4,12,6,2,0,7054.2,36631.85,37458.41,6971.171382998282,6851.447394641493,6924.510259483015,6816.94318371438,69.78444957659738,107.56707576863482,86.16151040184168,36631.85,1885.0131047993011,41737.05012788921,31430.71643138857,0.003854825805513107,0.00384741500331337,0.028495054632846427
2020-04-13,1586736000000,6834.5,6901.0,6557.0,6901.0,23116.247,2020,4,13,0,2,0,6949.8,6755.55,37458.41,6925.614255332188,6849.833357056588,6910.662527254859,6818.243688624426,60.358472998137806,92.41883863043313,87.41297604755998,6755.55,377.76628461189284,7511.082569223786,6000.0174307762145,-0.009636284596435285,-0.009683014027894139,0.028495054632846427
2020-04-14,1586822400000,6864.5,6967.0,6752.5,6834.5,14309.583,2020,4,14,1,2,0,6866.3,6763.85,37458.41,6905.2428368881265,6851.230180194056,6903.56059998488,6821.670082059654,60.6242774566474,81.89051792522605,86.30848442309319,6763.85,378.27013113020587,7520.390262260412,6007.309737739589,0.004389494476552791,0.004379888744951933,0.03851788025222463
2020-04-15,1586908800000,6617.5,6924.5,6603.0,6864.5,14598.789,2020,4,15,2,2,0,6818.4,6758.05,37458.41,6809.328557925418,6828.970163032717,6859.551276910283,6806.5463722774575,49.4361334867664,53.004904632825856,79.64776846503973,6758.05,379.6467852872553,7517.3435705745105,5998.75642942549,-0.035982227401850087,-0.03664554823640326,0.03942326900181494
2020-04-16,1586995200000,7099.5,7188.0,6465.5,6617.5,33866.452,2020,4,16,3,2,0,6863.4,6795.325,37458.41,6906.052371950279,6854.734909410554,6896.466465077932,6828.246640997646,56.06,68.21982408028634,77.36217958808905,6795.325,374.4501328263674,7544.225265652734,6046.424734347265,0.07283717415942581,0.07030670391315608,0.040301563459064334
2020-04-17,1587081600000,7022.0,7138.5,6982.0,7099.5,10038.558,2020,4,17,4,2,0,6887.6,6834.9,37458.41,6944.701581300187,6870.66491803812,6915.779316604404,6842.598741664487,55.87004185768387,73.18057493991728,76.5258586584547,6834.9,352.8139363520246,7540.527872704049,6129.272127295951,-0.010916261708571073,-0.010976281286034862,0.04005927615175683
2020-04-18,1587168000000,7240.0,7289.0,7013.5,7022.0,9693.835,2020,4,18,5,2,0,6968.7,6903.25,37458.41,7043.134387533459,6905.839687748775,6965.659421742188,6872.035871911562,57.266936884771276,93.62354983062596,79.94539689288895,6903.25,281.95704693408413,7467.1640938681685,6339.3359061318315,0.031045286243235548,0.0305731286513845,0.03740088907169688
2020-04-19,1587254400000,7118.5,7255.0,7047.0,7240.0,8777.442,2020,4,19,6,2,0,7019.5,6939.7,37458.41,7068.256258355639,6926.09305082032,6989.173356858775,6890.292473992187,56.63294521855317,98.88088286658785,83.73249408762874,6939.7,258.16326943275703,7456.026538865513,6423.373461134486,-0.016781767955801108,-0.01692417732596157,0.03317863343059947
2020-04-20,1587340800000,6827.5,7211.0,6750.0,7118.5,19621.635,2020,4,20,0,2,0,7061.5,6960.825,37458.41,6988.004172237093,6916.70323645648,6964.300532726656,6885.641179622396,39.50826621449767,78.65935310425994,82.71786589095498,6960.825,227.5818693060628,7415.988738612125,6505.661261387874,-0.04087939874973656,-0.04173845470594037,0.03479317967054808
2020-04-21,1587427200000,6837.5,6937.0,6759.5,6827.5,11307.232,2020,4,21,1,2,0,7009.1,6970.6,37458.41,6937.8361148247295,6909.160071079673,6944.792758461016,6882.075166317033,41.95991091314031,62.71759214398298,78.71781114156059,6970.6,217.12539428197937,7404.850788563959,6536.3492114360415,0.0014646649578908821,0.0014635933823765716,0.03390248625251362
2020-04-22,1587513600000,7123.0,7159.5,6815.5,6837.5,10919.75,2020,4,22,2,2,0,7029.3,6986.925,37458.41,6999.557409883153,6929.525778595895,6972.209257159322,6899.921450293549,45.079030558482614,72.28780686577284,77.43181028640305,6986.925,215.6154151187753,7418.155830237551,6555.69416976245,0.041755027422303526,0.04090681724811722,0.03475473948229082
2020-04-23,1587600000000,7483.5,7743.5,7015.0,7123.0,34335.355,2020,4,23,3,2,0,7078.0,7024.725,37458.41,7160.871606588769,6982.285228253429,7050.8693714425035,6943.149491012546,53.78973105134474,107.71988042995781,83.48942431511401,7024.725,233.2853163312879,7491.295632662576,6558.154367337424,0.05061069773971649,0.04937161199084802,0.03617914832606506
2020-04-24,1587686400000,7499.0,7608.5,7400.0,7483.5,8723.038,2020,4,24,4,2,0,7154.1,7056.5,37458.41,7273.5810710591795,7031.4961588959595,7119.812545066734,6984.3236027893945,64.27301022676745,135.48894227733945,93.8893279075591,7056.5,252.64589323482093,7561.791786469642,6551.208213530358,0.0020712233580544304,0.002069081332187679,0.03602982102936001
2020-04-25,1587772800000,7535.0,7702.5,7437.0,7499.0,16046.689,2020,4,25,5,2,0,7295.6,7094.7,37458.41,7360.720714039453,7079.448905667773,7183.68753813339,7025.114447027217,64.56449834619625,158.5730911061737,106.82608054728203,7094.7,264.67817598378707,7624.056351967574,6565.343648032425,0.004800640085344643,0.004789153759206381,0.03576614994990589
2020-04-26,1587859200000,7691.5,7698.5,7496.0,7535.0,9844.165,2020,4,26,6,2,0,7466.4,7113.15,37458.41,7470.980476026302,7137.739486080366,7261.812532266715,7074.4763398400155,66.4859228362878,187.3361924266992,122.92810292316548,7113.15,292.7641002941649,7698.67820058833,6527.62179941167,0.02076974120769748,0.02055699093521001,0.03132287469070064
2020-04-27,1587945600000,7772.5,7791.5,7624.0,7691.5,8929.64,2020,4,27,0,2,0,7596.3,7141.85,37458.41,7571.486984017535,7198.1928683584265,7340.379834994912,7126.181796148163,69.44444444444444,214.1980388467491,141.18209010788223,7141.85,327.6302111575747,7797.11042231515,6486.589577684851,0.010531105766105497,0.010476039937103153,0.031006904726986625
2020-04-28,1588032000000,7743.0,7778.0,7663.0,7772.5,5082.865,2020,4,28,1,2,0,7648.2,7161.175,37458.41,7628.657989345024,7250.0792618481,7402.321398841849,7171.872033470521,68.21480406386067,230.44936537132799,159.0355451605714,7161.175,351.48760085190855,7864.150201703817,6458.199798296183,-0.003795432614988714,-0.0038026535461852915,0.03076900545166213
2020-04-29,1588118400000,8778.0,8951.5,7709.5,7743.0,45617.393,2020,4,29,2,2,0,7904.0,7235.975,37458.41,8011.7719928966835,7395.595522624471,7613.964260558489,7290.844475435668,83.76308798249727,323.11978512282076,191.85239315302127,7235.975,504.4512775753147,8244.87755515063,6227.072444849371,0.09852182387630606,0.09396547914001319,0.04221078087118423
2020-04-30,1588204800000,8625.0,9458.0,8402.5,8778.0,52274.816,2020,4,30,3,2,1,8122.0,7324.375,37458.41,8216.18132859779,7512.681663326903,7769.508220472568,7389.670810588581,76.57202577948092,379.83740988398677,229.44939649921437,7324.375,583.2949934142276,8490.964986828456,6157.785013171545,-0.017429938482570018,-0.01758362834861876,0.03962455676058052
2020-05-01,1588291200000,8820.5,9060.5,8619.0,8625.0,14867.967,2020,5,1,4,2,0,8347.8,7421.675,37458.41,8417.62088573186,7637.235790629103,7931.199263476788,7495.65815795239,80.09034632758909,435.5411055243976,270.66773830425103,7421.675,661.3815141329854,8744.438028265971,6098.911971734029,0.022666666666666613,0.02241359483690001,0.039620817423686436
2020-05-02,1588377600000,8972.5,9010.0,8757.0,8820.5,11679.001,2020,5,2,5,2,0,8587.8,7525.25,37458.41,8602.580590487907,7764.403810569188,8091.399376788051,7605.053849955917,79.64071856287426,486.34552683213406,313.80329600982765,7525.25,733.7891834781102,8992.82836695622,6057.671633043779,0.017232583186894246,0.01708578628530184,0.0395667047725592
2020-05-03,1588464000000,8895.0,9191.0,8725.0,8972.5,20851.73,2020,5,3,6,2,0,8818.2,7628.275,37458.41,8700.053726991939,7872.079638134027,8215.030241897583,7700.605416625849,80.85808580858085,514.4248252717334,353.9276018622088,7628.275,775.1835516932664,9178.642103386532,6077.907896613467,-0.008637503482864295,-0.0086750229218268,0.03953602536867233
2020-05-04,1588550400000,8873.0,8953.0,8525.0,8895.0,16186.017,2020,5,4,0,2,0,8837.2,7728.7,37458.41,8757.702484661293,7967.405386883168,8316.256358528724,7787.449459838749,89.19333205594941,528.8068986899752,388.90346122776214,7728.7,800.7090837764376,9330.118167552875,6127.2818324471245,-0.0024732996065205404,-0.0024763632645977704,0.03965317017650416
2020-05-05,1588636800000,9023.5,9105.5,8771.0,8873.0,15659.189,2020,5,5,1,2,0,8916.9,7849.0,37458.41,8846.301656440863,8067.985826227628,8425.063072601228,7879.008759109953,89.74545454545455,546.054313491275,420.33363168046475,7849.0,805.6989610204732,9460.397922040946,6237.6020779590535,0.016961568804237492,0.01681932756601491,0.03789521563238466
2020-05-06,1588723200000,9149.5,9393.5,8920.0,9023.5,23645.378,2020,5,6,2,2,0,8982.7,7951.5,37458.41,8947.367770960576,8170.9871761107115,8536.514907585653,7973.119221398105,89.11407064273305,563.3956861875486,448.94604258188156,7951.5,835.1895624725884,9621.879124945177,6281.120875054823,0.013963539646478562,0.013866947566389037,0.035479919614508616
2020-05-07,1588809600000,9986.5,10059.5,9038.0,9149.5,35202.181,2020,5,7,3,2,0,9185.5,8099.725,37458.41,9293.745180640384,8343.893159338262,8759.589537187861,8122.258538331579,90.80534724486469,637.3309988562823,486.62303383676175,8099.725,920.2726208632533,9940.270241726506,6259.1797582734935,0.09148040876550634,0.0875349479374846,0.03900926414587771
